Source,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RV,e_RV,GLON,GLAT,Gmag,BP-RP,e_Gmag,e_BP-RP,probs
5290739829899616384,119.2926583291532,-60.56257363510024,2.570769226763898,0.09033213,-3.955310414414547,0.11695563,11.686677220828953,0.09922563,,,273.5871565261594,-15.865053220055,17.812184486700737,2.527801980122625,0.0029814082262823,0.026292096993664884,1.0
5290642286900685056,119.436307331168,-61.39236958916383,2.279451431180333,0.06680123,-4.764238907074293,0.091332674,11.144566093131058,0.09291642,,,274.38701776523254,-16.18505023366067,17.509309754402416,2.4857144615812317,0.002918148505457376,0.021682405030094692,1.0
5290739692460660224,119.36443896578078,-60.56719881639716,2.4710436707775454,0.12779397,-4.994158671695355,0.15749212,11.466054925602675,0.13491654,,,273.608340622323,-15.835890249611593,18.496498318130264,2.6632039871424915,0.0031685341718819143,0.07773555991253014,1.0
5290739662400163200,119.32557290545527,-60.58053622310855,2.444552348590055,0.024287794,-4.6407885125817705,0.032944344,11.073398807428198,0.026080582,12.24906,3.3572636,273.61147868864765,-15.85898548443106,10.170778214293211,0.25870039014958657,0.002779529324096871,0.004732714564776914,1.0
5290642561778464512,119.40135115067226,-61.35808676263887,2.4603589367195173,0.040278725,-4.889541445084733,0.052125357,11.57426796558683,0.05204286,,,274.34729920478844,-16.184179607428725,16.492315428797504,2.0114027790363647,0.0029460030777606477,0.009260002742479397,1.0
5294220647490191104,118.49274672514396,-58.79489951280839,2.3066768065349432,0.02172416,-4.224404739849163,0.02798383,10.191195971478772,0.02623815,,,271.7640700944122,-15.411695670494602,15.308723636969116,1.5695860731334363,0.0028524530074973613,0.006845226482099962,1.0
5290642699218901376,119.48395027576426,-61.36551386992847,2.500855727135506,0.034150228,-4.011827907457407,0.046888344,11.435173568577133,0.040144593,21.01616,2.0415676,274.3731130320885,-16.152435686838942,10.365406039674482,0.33402333781587856,0.0027726297925087023,0.00473800556725126,1.0
5290643077174550144,119.4655841795804,-61.311555879788095,2.4331462234950063,0.01797083,-4.207004663699397,0.024312014,11.372892745541028,0.020629834,23.173765,6.8682275,274.3190204696641,-16.135427614482683,14.826402709328146,1.3633217722938582,0.002823052403614275,0.005780578446143317,1.0
5290643145894030208,119.50806554747868,-61.30890712133306,2.3715933561711724,0.019911109,-3.5798038268469474,0.027194612,10.760106469957988,0.021875916,55.033775,9.974186,274.32634718665446,-16.116104383521197,14.541875549952454,1.4329371571653855,0.0030054863735862283,0.007785226239724057,1.0
5290643175952709632,119.48734209013416,-61.31215198835968,2.238766293458524,0.09706288,-4.72269312450538,0.13836348,11.530318102606504,0.1103737,,,274.32457591853034,-16.126429465727995,17.935546620902393,2.6661930647346246,0.003024831048659102,0.03875812824413094,1.0
5290740452672243968,119.0093395289794,-60.64603356028615,2.432160421184687,0.013003968,-5.147188804177189,0.019131811,11.388318876162757,0.016256152,25.276472,2.2167747,273.5978888742434,-16.02691032604625,13.378957404201579,1.019084092756314,0.0028653153856062477,0.005693092885491655,1.0
5290740452672244480,119.0190209192538,-60.64169783496645,2.459052725313604,0.092071675,-4.210020636870244,0.13822676,11.01163407185008,0.11286613,56.63149,5.0146804,273.59613409320747,-16.020707098392347,14.271572712846746,1.3624281877592495,0.0029586801334203832,0.006861717411239148,1.0
5290740521391722880,119.00719685817974,-60.6273934087088,2.4247123639518664,0.060797885,-4.480801323204112,0.0882448,11.246126130845262,0.07131505,,,273.5801400866644,-16.019324750586982,17.08335756232963,2.2530273966086547,0.002883649792248099,0.018362460982091433,1.0
5290741036787805440,119.07377390192526,-60.608349982518064,2.434022491476376,0.010798728,-4.121735037971892,0.015826665,11.794884246005443,0.013486301,18.201721,3.217212,273.5780730612949,-15.981566376172225,11.570928439780237,0.6456120045627873,0.0027682672668501948,0.007508938986583687,1.0
5290741449104650112,118.8863287635426,-60.618650917088175,2.4388624899775504,0.03972578,-4.346518585706821,0.05294732,11.54165530826786,0.048191264,,,273.5438903298837,-16.068092855374243,16.49580061444704,2.095567510285777,0.002901052832399361,0.008635811082872246,1.0
5290638915346313088,119.20830663139871,-61.5387980941105,2.597413883712038,0.06943798,-4.7657802195876044,0.103342205,11.076399461703788,0.09966114,,,274.4707052491049,-16.34890740891001,17.318210532347017,2.372870420534472,0.0029638990976219174,0.019106358069710394,1.0
5290639224584005632,119.214503495536,-61.51107997332568,2.4564257785215697,0.08902408,-3.970449679836461,0.117899306,11.201329884417284,0.13101391,,,274.44640357043454,-16.333636428826935,18.015095450012588,2.7569311693143845,0.0030806162899559672,0.04025161510082648,1.0
5290639297603518976,119.2871123479658,-61.48847056784829,2.475353227276746,0.04478416,-4.87308934345194,0.05816621,11.125870716240058,0.06049223,,,274.44193169705915,-16.29248883825235,16.77142962097244,2.1625541007172426,0.0029404948018396347,0.010962031169718023,1.0
5290741277305967232,119.00409775395129,-60.62334261992667,2.425172128462251,0.014346293,-4.853684017502577,0.02049553,10.868093315401897,0.016814645,20.561989,3.3619947,273.5756687587237,-16.018825229953162,14.290466886304246,1.1900905958803847,0.0027743983838592486,0.004985603875992607,1.0
5290741208586484352,118.93239563390831,-60.63112011133489,2.42160208048334,0.01023515,-3.25793488692121,0.014719365,11.496070664253482,0.011894678,22.44382,1.7894999,273.56615925251947,-16.05366526848407,12.345892665200727,0.8347672975365032,0.002776395313487091,0.004947435037180022,1.0
5290724818991539840,119.371843290413,-60.76891633096582,2.4768630262254865,0.061042607,-4.928620085271885,0.082117714,10.926221225717237,0.066005476,,,273.7961378942987,-15.925757198827116,17.14790837753191,2.3980924711236433,0.00301153014665391,0.019166633880296782,1.0
5290741036787805824,119.07399560305696,-60.60748958019287,2.466783069147634,0.016113196,-4.243441453057191,0.022147369,13.259963912276984,0.021682007,10.218777,3.9466343,273.5773293022622,-15.981075574436629,10.110748050556083,0.27794301049913095,0.002762603409212449,0.004722939363920883,1.0
5290740933710466816,119.04806387602436,-60.60819083131877,2.438658565818029,0.015000527,-4.263270285753821,0.020514188,11.702598749394005,0.018654974,22.492905,2.706633,273.5719163058735,-15.992711190024911,11.217306812777334,0.5693491975974609,0.0028319752103502073,0.005337482502601825,1.0
5290641599705993728,119.52247997238604,-61.41649512495114,2.44085575420998,0.01545403,-4.46381053216056,0.021643871,11.033121637648062,0.020257602,23.979967,4.562191,274.42907447944623,-16.15952415080987,14.59311268900598,1.3116295555659807,0.0027689876461578383,0.004981355735251903,1.0
5290740895051604736,119.03414256265292,-60.62028728789317,2.507664404043533,0.12999693,-3.5035889957693938,0.16635339,12.0599137321372,0.15691929,,,273.5798537768639,-16.0043202124819,18.357275108037154,2.813764080429042,0.0032264571158802497,0.06481021334182517,1.0
5290740830629369344,119.0338495632771,-60.63318483316635,2.410006421032954,0.027587276,-3.888311453328908,0.041460853,10.630191712278036,0.032609235,18.063694,3.3055189,273.5917170200836,-16.01034789276258,13.990302764339884,1.1662865963499467,0.0028034612633137134,0.005451297437928443,1.0
5290740830629369088,119.03613888248096,-60.63851993922343,2.3192943123072887,0.16759154,-4.4408917204756895,0.23824671,11.90016291246764,0.18878421,,,273.59718695037094,-16.01179000790997,18.219511549043304,3.0247230890375754,0.003359688816750709,0.05404265646103172,1.0
5294110112212710656,117.18447455909008,-59.30880174257886,2.455945376940428,0.044741914,-5.289237252538058,0.05328081,12.085957098175337,0.05282511,,,271.92756176210315,-16.24354002056593,16.682988236852896,2.08859368413977,0.0028416045861803106,0.012000070239898734,1.0
5290740658830679168,119.06335329709304,-60.6393499104707,2.416473290552161,0.043785796,-5.48211051756388,0.06461325,11.13621867394156,0.05140677,,,273.60430683887154,-16.000305215256425,16.65644191254766,2.2916469665563675,0.0031960922343989033,0.012665283931341793,1.0
5290640328395589120,119.16385023865185,-61.46523826017017,2.4171416115093347,0.012367551,-4.603434753743279,0.017279366,11.44266688687901,0.017975116,21.76927,2.1443064,274.3924002229299,-16.334254428076868,12.814222077934126,0.9247324073044645,0.0027839471582896606,0.005000286105314469,1.0
